,,
ACTION,Narrator,A rose flutters in his metal arm as Alonso closes his eyes.
Alonso,neutral,*Breathe in ... breathe out*
ACTION,Narrator,The metal arm twitches as it loosens its grip on the flower and flies out.
ACTION,Narrator,Alonso tries to catch it but misses.
ACTION,Narrator,He glares at his hand as it crudely forms a fist.
???,neutral,About time you noticed!
???,neutral,Here I was wondering if you were gonna watch grass grow all morning.
ACTION,Narrator,Alonso turns to see where the noise is coming from. 
Alonso,neutral,Cynthi... 
Alonso,neutral,the sun’s only been out for a few minutes. Aren’t you supposed to be busy crowing to wake everyone up?
Alonso,neutral,Maybe circling over some carrion?
ACTION,Narrator,Alonso snickers, cracking a weak smile.
ACTION,Narrator,Cynthi walks closer and grabs Alonso's shoulder
Cynthi,neutral,Ha Ha. Hilarious, doofus. 
Cynthi,neutral,Maybe spend a little less time thinking about birds and a little more time digging the wax outta those ...  
Cynthi,neutral, ... ears 
Cynthi,neutral,*points at the ground*
Cynthi,neutral,This soil is putrid, the dew point around here is constantly fluctuating
Cynthi,neutral,and the humidity is gonna eat away at those plants’ caudex turning them all goopy.
Cynthi,neutral,But you’d KNOW all that if you ever bothered to show up to—
ACTION,Narrator,Her words trail off as she gazes toward the gravestone. Then at Alonso.
Cynthi,sad,I...
Cynthi,sad,listen… 
Cynthi,sad,forget all that...
Cynthi,sad,Is this all for...
Cynthi,sad,Her?
Alonso,sad,Yeah.
Alonso,sad,It’s for her. Pineberries were always her favorite.
Alonso,sad,I guessed...
Alonso,sad,well, I just figured… 
Alonso,sad,if she was...
Alonso,sad,if she ever...
Alonso,sad,you know...
Alonso,sad,they’d be here for her. 
Alonso,sad,I know, I know it’s dumb—
Cynthi,angry,Dumb!? Dumb?!
Cynthi,angry,Listen, pal, you know as well as I do, if anyone could survive out there ... 
Cynthi,angry,It's her! 
Cynthi,neutral,So, uh, why don’t we hold off on the whole past-tensing her just yet.
Cynthi,neutral,huh buddy?
ACTION,Narrator,Cynthi raises his head and flashes a bittersweet smile and grabs her hand.
Cynthi,happy,*contorts face to an awkward smile*
Alonso,neutral,Alright, alright I get it, just please, fix your face.
ACTION,Narrator,Both Cynthi and Alonso chuckle a little.
Cynthi,happy,See! There’s the dummy I know—
ACTION,Narrator,Cynthi pulls Alonso close and hugs him while smiling sinisterly.
Cynthi,neutral,Now get those seeds outta the ground before I plant your face in the dirt right next to 'em... 
ACTION,Narrator,Alonso sighs loudly
Alonso,neutral,I’m going, I’m going...
Alonso,neutral,did you really come all the way down here just to give me a lecture on seed ethics, or are you just that nosy?
Cynthi,neutral,Cynthi thinks for a moment ...
Cynthi,happy,...
Cynthi,happy,OH!!! I almost forgot!!
Cynthi,happy,I caught up with your mom by the greenhouse.
Cynthi,happy,She said she finished taking a look at your invention! 
Cynthi,happy,She’s probably waiting for us back at the institute so let’s get moving.
